DBPediaURI;searchwrap_q=#libya&lang=de;searchwrap_q=#libya&lang=de.1;searchwrap_q=#libya&lang=de.10;searchwrap_q=#libya&lang=de.11;searchwrap_q=#libya&lang=de.12;searchwrap_q=#libya&lang=de.13;searchwrap_q=#libya&lang=de.14;searchwrap_q=#libya&lang=de.15;searchwrap_q=#libya&lang=de.16;searchwrap_q=#libya&lang=de.17;searchwrap_q=#libya&lang=de.18;searchwrap_q=#libya&lang=de.19;searchwrap_q=#libya&lang=de.2;searchwrap_q=#libya&lang=de.20;searchwrap_q=#libya&lang=de.21;searchwrap_q=#libya&lang=de.22;searchwrap_q=#libya&lang=de.23;searchwrap_q=#libya&lang=de.24;searchwrap_q=#libya&lang=de.25;searchwrap_q=#libya&lang=de.26;searchwrap_q=#libya&lang=de.27;searchwrap_q=#libya&lang=de.28;searchwrap_q=#libya&lang=de.29;searchwrap_q=#libya&lang=de.3;searchwrap_q=#libya&lang=de.30;searchwrap_q=#libya&lang=de.31;searchwrap_q=#libya&lang=de.32;searchwrap_q=#libya&lang=de.33;searchwrap_q=#libya&lang=de.34;searchwrap_q=#libya&lang=de.35;searchwrap_q=#libya&lang=de.36;searchwrap_q=#libya&lang=de.37;searchwrap_q=#libya&lang=de.38;searchwrap_q=#libya&lang=de.39;searchwrap_q=#libya&lang=de.4;searchwrap_q=#libya&lang=de.40;searchwrap_q=#libya&lang=de.41;searchwrap_q=#libya&lang=de.42;searchwrap_q=#libya&lang=de.43;searchwrap_q=#libya&lang=de.44;searchwrap_q=#libya&lang=de.45;searchwrap_q=#libya&lang=de.46;searchwrap_q=#libya&lang=de.47;searchwrap_q=#libya&lang=de.5;searchwrap_q=#libya&lang=de.6;searchwrap_q=#libya&lang=de.7;searchwrap_q=#libya&lang=de.8;searchwrap_q=#libya&lang=de.9
http://de.dbpedia.org/resource/Vereinte_Nationen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Peru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Nicaragua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Sanussiya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Somalia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/happening;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
http://de.dbpedia.org/resource/hospital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Tripoli_(Libanon);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0
http://de.dbpedia.org/resource/Nato;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/embargo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
