DBPediaURI;searchwrap_q=#libya&lang=de&extern=true.1;searchwrap_q=#libya&lang=de&extern=true.10;searchwrap_q=#libya&lang=de&extern=true.11;searchwrap_q=#libya&lang=de&extern=true.12;searchwrap_q=#libya&lang=de&extern=true.13;searchwrap_q=#libya&lang=de&extern=true.14;searchwrap_q=#libya&lang=de&extern=true.15;searchwrap_q=#libya&lang=de&extern=true.16;searchwrap_q=#libya&lang=de&extern=true.17;searchwrap_q=#libya&lang=de&extern=true.18;searchwrap_q=#libya&lang=de&extern=true.19;searchwrap_q=#libya&lang=de&extern=true.2;searchwrap_q=#libya&lang=de&extern=true.20;searchwrap_q=#libya&lang=de&extern=true.21;searchwrap_q=#libya&lang=de&extern=true.22;searchwrap_q=#libya&lang=de&extern=true.23;searchwrap_q=#libya&lang=de&extern=true.24;searchwrap_q=#libya&lang=de&extern=true.25;searchwrap_q=#libya&lang=de&extern=true.26;searchwrap_q=#libya&lang=de&extern=true.27;searchwrap_q=#libya&lang=de&extern=true.28;searchwrap_q=#libya&lang=de&extern=true.29;searchwrap_q=#libya&lang=de&extern=true.3;searchwrap_q=#libya&lang=de&extern=true.30;searchwrap_q=#libya&lang=de&extern=true.31;searchwrap_q=#libya&lang=de&extern=true.32;searchwrap_q=#libya&lang=de&extern=true.33;searchwrap_q=#libya&lang=de&extern=true.34;searchwrap_q=#libya&lang=de&extern=true.35;searchwrap_q=#libya&lang=de&extern=true.36;searchwrap_q=#libya&lang=de&extern=true.37;searchwrap_q=#libya&lang=de&extern=true.38;searchwrap_q=#libya&lang=de&extern=true.39;searchwrap_q=#libya&lang=de&extern=true.4;searchwrap_q=#libya&lang=de&extern=true.40;searchwrap_q=#libya&lang=de&extern=true.41;searchwrap_q=#libya&lang=de&extern=true.42;searchwrap_q=#libya&lang=de&extern=true.43;searchwrap_q=#libya&lang=de&extern=true.44;searchwrap_q=#libya&lang=de&extern=true.45;searchwrap_q=#libya&lang=de&extern=true.46;searchwrap_q=#libya&lang=de&extern=true.47;searchwrap_q=#libya&lang=de&extern=true.5;searchwrap_q=#libya&lang=de&extern=true.6;searchwrap_q=#libya&lang=de&extern=true.7;searchwrap_q=#libya&lang=de&extern=true.8
http://de.dbpedia.org/resource/javascript;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Vereinigte_Staaten;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
http://de.dbpedia.org/resource/E-mail;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Hypertext_Markup_Language;1;0;0;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0;1;1;0;0;1;0;1;1;1;1;1;0;1;0;1;0;0;1;0;0;1;1;0;0;1
http://de.dbpedia.org/resource/Cable_News_Network;1;1;1;1;1;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0
http://de.dbpedia.org/resource/NATO;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0
http://de.dbpedia.org/resource/E-Mail;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
http://de.dbpedia.org/resource/Facebook;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;1;1;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;1;1
http://de.dbpedia.org/resource/JavaScript;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Cascading_Style_Sheets;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/ZIP_(Dateiformat);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Image;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/e-mail;0;1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
http://de.dbpedia.org/resource/image;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
http://de.dbpedia.org/resource/The_Times;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
http://de.dbpedia.org/resource/Pentagon;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Bahrain;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Reuters;0;0;1;1;1;0;0;1;0;0;1;1;0;1;1;1;0;1;0;0;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;1;0;1;1;0;1
