DBPediaURI;searchwrap_q=#gaddafi&lang=de;searchwrap_q=#gaddafi&lang=de.1;searchwrap_q=#gaddafi&lang=de.10;searchwrap_q=#gaddafi&lang=de.11;searchwrap_q=#gaddafi&lang=de.12;searchwrap_q=#gaddafi&lang=de.13;searchwrap_q=#gaddafi&lang=de.14;searchwrap_q=#gaddafi&lang=de.15;searchwrap_q=#gaddafi&lang=de.16;searchwrap_q=#gaddafi&lang=de.17;searchwrap_q=#gaddafi&lang=de.18;searchwrap_q=#gaddafi&lang=de.19;searchwrap_q=#gaddafi&lang=de.2;searchwrap_q=#gaddafi&lang=de.20;searchwrap_q=#gaddafi&lang=de.21;searchwrap_q=#gaddafi&lang=de.22;searchwrap_q=#gaddafi&lang=de.23;searchwrap_q=#gaddafi&lang=de.24;searchwrap_q=#gaddafi&lang=de.25;searchwrap_q=#gaddafi&lang=de.26;searchwrap_q=#gaddafi&lang=de.27;searchwrap_q=#gaddafi&lang=de.28;searchwrap_q=#gaddafi&lang=de.29;searchwrap_q=#gaddafi&lang=de.3;searchwrap_q=#gaddafi&lang=de.30;searchwrap_q=#gaddafi&lang=de.31;searchwrap_q=#gaddafi&lang=de.32;searchwrap_q=#gaddafi&lang=de.33;searchwrap_q=#gaddafi&lang=de.34;searchwrap_q=#gaddafi&lang=de.35;searchwrap_q=#gaddafi&lang=de.36;searchwrap_q=#gaddafi&lang=de.37;searchwrap_q=#gaddafi&lang=de.38;searchwrap_q=#gaddafi&lang=de.39;searchwrap_q=#gaddafi&lang=de.4;searchwrap_q=#gaddafi&lang=de.40;searchwrap_q=#gaddafi&lang=de.41;searchwrap_q=#gaddafi&lang=de.42;searchwrap_q=#gaddafi&lang=de.43;searchwrap_q=#gaddafi&lang=de.44;searchwrap_q=#gaddafi&lang=de.45;searchwrap_q=#gaddafi&lang=de.46;searchwrap_q=#gaddafi&lang=de.47;searchwrap_q=#gaddafi&lang=de.5;searchwrap_q=#gaddafi&lang=de.6;searchwrap_q=#gaddafi&lang=de.7;searchwrap_q=#gaddafi&lang=de.8;searchwrap_q=#gaddafi&lang=de.9
http://de.dbpedia.org/resource/VENEZUELA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Kuwait;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/major;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Ankara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Platon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Paris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/REUTERS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Sky_News;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
http://de.dbpedia.org/resource/Teheran;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
http://de.dbpedia.org/resource/Elisabeth_II.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
http://de.dbpedia.org/resource/depression;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
